TurnsLeft	kp	kb	ka	dpos_X	dpos_Y	dpos_theta	cpos_X	cpos_Y	cpos_theta	Deltax	deltay	deltatheta	rho	alpha	beta	vix	viy	wi	vr	wr	phi_l	phi_r
1	0.7	-2	10	0	200	1.5707963267948966	0.00011689619113128173	199.99981783437434	2.4203385461062257	-0.00011689619113128173	0.0001821656256595361	0.8495422193113291	0.00021644637828554993	-0.2790219633080082	-1.2917743634868883	-0.00012415586453065047	0.0001046996911085512	-0.2066709064000385	0.00015151246479988494	-0.20667090610630545	1.653417753005377	-1.6533167446955104
1	0.7	-2	10	0	200	1.5707963267948966	0.00010551793533877933	199.99982783915144	2.399671455495595	-0.00010551793533877933	0.0001721608485638626	0.8288751287006986	0.00020192422454076193	-0.2790219633510307	-1.2917743634438659	-0.00011378255792502403	0.00010004777109848537	-0.20667090610630545	0.00014134695717853333	-0.20667090662257515	1.653414368632994	-1.6533201373282083
1	0.7	-2	10	0	200	1.5707963267948966	9.509823687547632e-05	199.99983739004182	2.3790043648333374	-9.509823687547632e-05	0.0001626099581812923	0.8082080380384409	0.00018837641348254256	-0.2790219632906261	-1.2917743635042704	-0.00010419698463303009	9.550890375778705e-05	-0.20667090662257515	0.00013186348943777977	-0.2066709058977203	1.6534112016782416	-1.6533232926852832
1	0.7	-2	10	0	200	1.5707963267948966	8.55638412431689e-05	199.99984649910863	2.3583372742435653	-8.55638412431689e-05	0.00015350089137200484	0.7875409474486688	0.00017573757304653503	-0.2790219633557589	-1.2917743634391377	-9.534395632307429e-05	9.109066823429915e-05	-0.2066709058977203	0.0001230163011325745	-0.20667090667931376	1.6534082588682208	-1.6533262480007993
1	0.7	-2	10	0	200	1.5707963267948966	7.684665600587804e-05	199.99985517901558	2.337670183575634	-7.684665600587804e-05	0.00014482098441703783	0.7668738567807374	0.0001639467171577573	-0.27902196334696816	-1.2917743634479284	-8.717185237290857e-05	8.679906968519934e-05	-0.20667090667931376	0.0001147627020104301	-0.2066709065738248	1.653405506824602	-1.653328998356595
1	0.7	-2	10	0	200	1.5707963267948966	6.888341500293997e-05	199.99986344288698	2.3170030929182515	-6.888341500293997e-05	0.0001365571130236276	0.7462067661233549	0.00015294695152181053	-0.27902196331819384	-1.2917743634767027	-7.963241002938073e-05	8.263871396414252e-05	-0.2066709065738248	0.00010706286606526737	-0.206670906228533	1.6534029374502859	-1.6533315622062423
1	0.7	-2	10	0	200	1.5707963267948966	6.161536245269889e-05	199.9998713041836	2.2963360022953982	-6.161536245269889e-05	0.00012869581638597083	0.7255396755005017	0.00014268519911129175	-0.2790219633520761	-1.2917743634428205	-7.268052550241078e-05	7.861296650555044e-05	-0.206670906228533	9.987963937790422e-05	-0.20667090663511978	1.6534005462940842	-1.6533339598678323
1	0.7	-2	10	0	200	1.5707963267948966	5.498795592415706e-05	199.99987877659328	2.2756689116318864	-5.498795592415706e-05	0.00012122340672249265	0.7048725848369899	0.0001331119439949846	-0.2790219633396753	-1.2917743634552212	-6.627406528541829e-05	7.47240967346164e-05	-0.20667090663511978	9.317836079648922e-05	-0.2066709064863108	1.6533983113440855	-1.6533361924368877
1	0.7	-2	10	0	200	1.5707963267948966	4.89505871863159e-05	199.99988587393418	2.255001820983255	-4.89505871863159e-05	0.00011412606582439366	0.6842054941883586	0.00012418099245230306	-0.2790219633341482	-1.2917743634607484	-6.0373687378411636e-05	7.097340905617074e-05	-0.2066709064863108	8.692669471661213e-05	-0.2066709064199852	1.6533962269247873	-1.6533382757949762
1	0.7	-2	10	0	200	1.5707963267948966	4.34563199782298e-05	199.99989261007033	2.234334730341257	-4.34563199782298e-05	0.00010738992966707883	0.6635384035463603	0.00011584925006209765	-0.27902196332536944	-1.2917743634695271	-5.4942672080860965e-05	6.736136161754797e-05	-0.2066709064199852	8.109447504346835e-05	-0.20667090631464013	1.6533942820088023	-1.6533402190254398
1	0.7	-2	10	0	200	1.5707963267948966	3.8461643795744196e-05	199.99989899883772	2.2136676397097927	-3.8461643795744196e-05	0.00010100116227818035	0.6428713129148962	0.0001080765137530538	-0.2790219632885178	-1.2917743635063788	-4.994676182485598e-05	6.388767381730862e-05	-0.20667090631464013	7.565355962713766e-05	-0.20667090587242054	1.6533924648325735	-1.6533420291261554
1	0.7	-2	10	0	200	1.5707963267948966	3.3926242822090316e-05	199.99990505398006	2.1930005491225506	-3.3926242822090316e-05	9.49460199421992e-05	0.622204222327654	0.00010082527785673553	-0.27902196335591256	-1.291774363438984	-4.5354009736538825e-05	6.055142347686645e-05	-0.20667090587242054	7.057769449971487e-05	-0.20667090668115762	1.6533907793474274	-1.6533437275510943
1	0.7	-2	10	0	200	1.5707963267948966	2.9812779168965207e-05	199.99991078909352	2.172333458454435	-2.9812779168965207e-05	8.921090648073005e-05	0.6015371316595384	9.406055303309166e-05	-0.2790219632986366	-1.29177436349626	-4.1134636531251105e-05	5.735113458630914e-05	-0.20667090668115762	6.584238712316416e-05	-0.20667090599384608	1.653389195413143	-1.6533453004883942
1	0.7	-2	10	0	200	1.5707963267948966	2.6086689641225478e-05	199.99991621757914	2.1516663678550505	-2.6086689641225478e-05	8.378242085882448e-05	0.5808700410601539	8.774969755732956e-05	-0.2790219633482518	-1.2917743634466448	-3.726089527739729e-05	5.4284856315582574e-05	-0.20667090599384608	6.142478829013068e-05	-0.2066709065892285	1.653387727643258	-1.6533467777843978
1	0.7	-2	10	0	200	1.5707963267948966	2.2715995255272993e-05	199.99992135260257	2.1309992771961275	-2.2715995255272993e-05	7.86473974301316e-05	0.5602029504012309	8.18622596986588e-05	-0.27902196327886974	-1.2917743635160268	-3.3706943859524845e-05	5.135023419750114e-05	-0.2066709065892285	5.730358178906116e-05	-0.20667090575664382	1.6533863472470802	-1.6533481448592209
1	0.7	-2	10	0	200	1.5707963267948966	1.9671122804717897e-05	199.99992620705996	2.110332186620463	-1.9671122804717897e-05	7.379294004294934e-05	0.5395358598255666	7.636983090580082e-05	-0.2790219633508926	-1.291774363444004	-3.0448724505550948e-05	4.854457396909239e-05	-0.20667090575664382	5.3458881634060565e-05	-0.2066709066209178	1.6533850725945538	-1.653349433340131
